date,mae,rmse,mape,bias
2023-01-03,30.0003662109375,30.000366208702353,0.04538633314816566,-30.0003662109375
2023-01-03,78.76605224609375,78.76605119156666,0.13965612100371233,78.76605224609375
2023-01-03,57.23822021484375,57.238220335607046,0.07263733529802506,-57.23822021484375
2023-01-03,9.09912109375,9.09912118545831,0.006603135771952104,-9.09912109375
2023-01-03,110.34259033203125,110.34259061979422,0.12384129105727414,-110.34259033203125
2023-01-03,21.4036865234375,21.403686548152457,0.02783314242319571,-21.4036865234375
2023-01-04,22.79150390625,22.79150360811568,0.031221238227739725,-22.79150390625
2023-01-04,23.849365234375,23.84936553303096,0.023801761710953093,-23.849365234375
2023-01-04,28.529541015625,28.52954069701811,0.021878482373945553,-28.529541015625
2023-01-04,17.7451171875,17.7451173756002,0.012757093592739037,-17.7451171875
2023-01-04,27.3248291015625,27.324829391407576,0.022000667553592996,-27.3248291015625
2023-01-04,31.9951171875,31.995116814914116,0.028772587398830936,-31.9951171875
2023-01-04,35.90185546875,35.901855624809805,0.05085248649964589,-35.90185546875
2023-01-04,28.22900390625,28.22900366554262,0.022071152389562157,-28.22900390625
2023-01-04,62.3936767578125,62.393677141723465,0.04083355808757363,-62.3936767578125
2023-01-04,14.69775390625,14.697753963025002,0.010728287522810218,-14.69775390625
2023-01-04,69.338623046875,69.33862362754614,0.10936691332314669,-69.338623046875
2023-01-04,4.990234375,4.990234375,0.0040736607142857146,-4.990234375
2023-01-05,7.2635498046875,7.263549770837775,0.0037557134460638572,7.2635498046875
2023-01-05,46.7584228515625,46.75842274560007,0.027602374764794865,-46.7584228515625
2023-01-05,86.7601318359375,86.76013089259375,0.0559381894493472,-86.7601318359375
2023-01-05,3.671142578125,3.6711426349509746,0.0019705542555689746,-3.671142578125
2023-01-05,24.9248046875,24.92480512751366,0.013321648683858898,-24.9248046875
2023-01-05,34.7470703125,34.7470701889922,0.03531206332571138,-34.7470703125
2023-01-05,21.15350341796875,21.153503329826954,0.020657718181610107,-21.15350341796875
2023-01-05,29.7020263671875,29.702026667949678,0.01666780379752385,-29.7020263671875
2023-01-05,1.4156494140625,1.4156494509035873,0.0008016134847466025,1.4156494140625
2023-01-05,38.46533203125,38.46533227608173,0.02544003441220238,-38.46533203125
2023-01-05,10.2174072265625,10.21740713832874,0.009486914787894615,-10.2174072265625
2023-01-05,42.368408203125,42.36840841063067,0.022205664676690252,-42.368408203125
2023-01-06,10.6468505859375,10.646850736392773,0.009154643668046001,-10.6468505859375
2023-01-06,6.303466796875,6.303466678676857,0.004655440765786559,6.303466796875
2023-01-06,5.413818359375,5.4138183538701385,0.002759336574604995,-5.413818359375
2023-01-06,22.25341796875,22.253417706262,0.011154595473057645,-22.25341796875
2023-01-06,53.2747802734375,53.27477966578088,0.036715906459984494,-53.2747802734375
2023-01-06,93.9122314453125,93.9122294269362,0.10623555593361142,-93.9122314453125
2023-01-06,38.0166015625,38.0166011485854,0.04040021420031881,-38.0166015625
2023-01-06,80.97564697265625,80.97564557187087,0.16162803786957336,80.97564697265625
2023-01-06,17.6793212890625,17.679321554984266,0.010114028197404177,-17.6793212890625
2023-01-06,21.364013671875,21.364013703959486,0.011018057592509026,21.364013671875
2023-01-06,0.1656494140625,0.1656494140625,8.677287274096385e-05,-0.1656494140625
2023-01-06,11.50634765625,11.506347894537049,0.0073009820153870555,-11.50634765625
2023-01-07,7.4549560546875,7.454956085669306,0.006728299688346119,-7.4549560546875
2023-01-07,19.5816650390625,19.581665400906196,0.015504089500445368,-19.5816650390625
2023-01-07,4.9188232421875,4.918823264908119,0.003608821160812546,-4.9188232421875
2023-01-07,17.8232421875,17.823242374775695,0.01288737685285611,-17.8232421875
2023-01-07,27.64892578125,27.64892536303118,0.015183374948517299,27.64892578125
2023-01-07,4.472412109375,4.472412102711409,0.006955539827954899,-4.472412109375
2023-01-07,48.76654052734375,48.76654116409503,0.05826348927998058,-48.76654052734375
2023-01-07,3.70697021484375,3.7069702786575705,0.003849397938570872,-3.70697021484375
2023-01-07,10.5732421875,10.573242142401519,0.007139258735651586,-10.5732421875
2023-01-07,21.4132080078125,21.41320812437348,0.01691406635688191,-21.4132080078125
2023-01-07,7.0076904296875,7.007690564713974,0.007209558055234054,-7.0076904296875
2023-01-07,38.96142578125,38.96142548446155,0.027283911611519607,-38.96142578125
2023-01-08,7.9951171875,7.995117127858953,0.004114831285383428,-7.9951171875
2023-01-08,7.095458984375,7.095459047377948,0.010899322556643625,-7.095458984375
2023-01-08,16.78363037109375,16.783630315936755,0.022289017757096612,-16.78363037109375
2023-01-08,1.60614013671875,1.6061401448366692,0.002271768227324965,-1.60614013671875
2023-01-08,39.08380126953125,39.08380200417511,0.0780115793803019,39.08380126953125
2023-01-08,23.55712890625,23.557128293937513,0.016671711894019815,-23.55712890625
2023-01-08,10.92315673828125,10.923156750388355,0.011473904136850052,-10.92315673828125
2023-01-08,16.916015625,16.916015512245988,0.015009774290150843,-16.916015625
2023-01-08,29.0484619140625,29.048461411089615,0.017909039404477498,-29.0484619140625
2023-01-08,32.337646484375,32.33764661616357,0.021359079580168427,-32.337646484375
2023-01-08,6.36419677734375,6.364196898804125,0.006307429908170218,-6.36419677734375
2023-01-08,0.1011962890625,0.1011962890625,6.950294578468406e-05,-0.1011962890625
2023-01-09,2.18328857421875,2.183288552890315,0.004231179407400678,-2.18328857421875
2023-01-09,16.746002197265625,16.746002175659346,0.03183650607845176,-16.746002197265625
2023-01-09,17.0474853515625,17.04748545252074,0.01900500039193144,-17.0474853515625
